Urea (kg/ha),SP (kg/ha),Round Up (liter/ha),Formic acid (botol),Padi/Gabah (Kg),Karet (batang),Pisau sadap (unit),Mangkok penampung (latex cup) (unit),Ember karet (pair),Cangkul (unit),Parang (unit),Bak penampung (unit),Persiapan lahan Tebas (HOK),Persiapan lahan Tumbang (HOK),Persiapan lahan Bakar (HOK),Persiapan lahan Pancang (HOK),Penanaman Padi Tugal dan tanam padi (HOK),Padi Penyiangan (HOK),Padi Bird + pig waching (HOK),Padi Panen (HOK),Padi Perontokan + Pengeringan (HOK),Penanaman Karet: Pembuatan lubang +tanam+ pagar (HOK),Penanaman Karet: Tanam (HOK),Karet Penyiangan (HOK),Karet Pruning (HOK),Karet Penyadapan (HOK),Padi (kg),Karet basah (kg)
50,50,0,,70,550,,,,1,1,,15,4,1,2,10,6,15,20,2,29,11,21,1,0,500,0
,,,,,55,,,,,,,,,,,,,,,,,2,21,6,0,,0
,,,,,,,,,,1,,,,,,,,,,,,,21,3,0,,0
,,,,,,,,,,,,,,,,,,,,,,,21,,0,,0
,,,,,,,,,,1,,,,,,,,,,,,,21,,0,,0
,,,,,,,,,1,,,,,,,,,,,,,,21,,0,,429.93
,,,,,,,,,,1,,,,,,,,,,,,,21,,0,,984.3721272
,,,,,,,,,,,,,,,,,,,,,,,21,,10,,1512.32599
,,,16.48463591,,,2,200,2,,1,1,,,,,,,,,,,,14,,88.31054953,,1648.463591
,,,17.2623474,,,2,350,,,,1,,,,,,,,,,,,14,,92.47686107,,1726.23474
,,,18.77260696,,,2,427,2,1,1,1,,,,,,,,,,,,14,,100.5675373,,1877.260696
,,,19.12425183,,,2,427,,,,1,,,,,,,,,,,,14,,102.4513491,,1912.425183
,,,19.36286909,,,2,427,2,,1,1,,,,,,,,,,,,14,,103.7296559,,1936.286909
,,,19.08063828,,,2,446.5,,,,1,,,,,,,,,,,,14,,102.2177051,,1908.063828
,,,18.78712471,,,2,437,2,,1,1,,,,,,,,,,,,14,,100.6453109,,1878.712471
,,,18.54729954,,,2,427,,1,,1,,,,,,,,,,,,14,,99.36053325,,1854.729954
,,,18.28858668,,,2,418,2,,1,1,,,,,,,,,,,,14,,97.97457148,,1828.858668
,,,17.60256599,,,2,408,,,,1,,,,,,,,,,,,14,,94.29946066,,1760.256599
,,,16.91238393,,,2,399,2,,1,1,,,,,,,,,,,,14,,90.60205677,,1691.238393
,,,16.47873306,,,2,389,,,,1,,,,,,,,,,,,14,,88.27892711,,1647.873306
,,,15.98332409,,,2,380,2,1,1,1,,,,,,,,,,,,14,,85.62495048,,1598.332409
,,,15.49029528,,,2,370,,,,1,,,,,,,,,,,,14,,82.98372469,,1549.029528
,,,14.93849201,,,2,361,2,,1,1,,,,,,,,,,,,14,,80.02763577,,1493.849201
,,,14.4512784,,,2,351,,,,1,,,,,,,,,,,,14,,77.41756286,,1445.12784
,,,13.42542461,,,2,342,2,,1,1,,,,,,,,,,,,14,,71.92191756,,1342.542461
,,,12.41408577,,,2,332,,1,,1,,,,,,,,,,,,14,,66.5040309,,1241.408577
,,,11.47538198,,,2,323,2,,1,1,,,,,,,,,,,,14,,61.47526061,,1147.538198
,,,10.54960218,,,2,304,,,,1,,,,,,,,,,,,14,,56.51572596,,1054.960218
,,,9.586012064,,,2,285,2,,1,1,,,,,,,,,,,,14,,51.35363606,,958.6012064
,,,8.69104764,,,2,266,,,,1,,,,,,,,,,,,14,,46.55918379,,869.104764
